doctor,eeg
NonREM2,7
NonREM2,8
NonREM2,9
NonREM2,10
NonREM2,10
NonREM2,10
NonREM2,10
NonREM2,10
NonREM2,8
NonREM2,9
NonREM2,11
NonREM2,11
NonREM2,10
Wake,10
Wake,10
Wake,9
NonREM2,7
NonREM2,6
NonREM2,7
NonREM2,7
NonREM2,7
NonREM2,7
NonREM2,7
NonREM2,7
NonREM2,7
NonREM2,9
NonREM2,8
NonREM2,8
Wake,7
Wake,7
Wake,7
Wake,5
Wake,6
NonREM2,7
NonREM2,8
NonREM2,8
NonREM2,8
NonREM2,9
NonREM2,8
NonREM2,8
NonREM2,7
NonREM2,8
NonREM2,8
NonREM2,7
NonREM2,7
NonREM2,7
NonREM2,7
NonREM2,6
NonREM2,6
NonREM2,7
NonREM2,7
NonREM2,6
NonREM2,6
NonREM2,7
NonREM2,7
NonREM2,7
NonREM2,8
NonREM2,8
Wake,9
Wake,8
Wake,8
NonREM2,9
NonREM2,9
NonREM2,8
NonREM2,7
NonREM2,8
NonREM2,7
NonREM2,7
NonREM2,7
NonREM2,7
NonREM2,7
NonREM2,7
NonREM2,7
NonREM2,7
NonREM2,5
NonREM2,4
NonREM2,3
